"SQL Editor","Show server output","Ctrl+Shift+O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"SQL Editor","Execute SQL script","Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Result Set","Activate filter/data editor","Ctrl+Alt+Shift+T","Results viewer context","org.jkiss.dbeaver.core.resultset.focus.filter"
"SQL Editor","Set connection from navigator","Ctrl+Shift+.","Database navigator context","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"Navigate","Next Edit Location","Ctrl+Alt+Right","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Connection","Open Database Object ...","Ctrl+Shift+D","In Windows","org.jkiss.dbeaver.core.object.goto"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"File","Open File...","Ctrl+O","In Windows","org.eclipse.ui.edit.text.openLocalFile"
"SQL Editor","Next query","Alt+Down","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.next"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Result Set","Toggle results sort order","Ctrl+2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Connection","Open SQL script","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Result Set","Reject changes","Ctrl+R","Results viewer context","org.jkiss.dbeaver.core.resultset.rejectChanges"
"Oracle","Compile","Ctrl+F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text","org.eclipse.quickdiff.toggle"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
